id,passtag,passtime,year,quarter
60ad7bc7f7e4c08cee034aae74e9b38427dce5d2570a75cd1e9cbdd5bc252cfa,Second Pass Juniors Start,2024-06-04,2024,Fall
517ba8ac78db53cd448b9ebd248912233556568b5989c8aa8880ef59ade877e0,Second Pass Juniors Start,2024-11-21,2025,Winter
8b4437ad448e4a20d73eb0325dc61348d12273df542c81d81d0085361fb80f30,Second Pass Juniors Start,2025-02-26,2025,Spring
fd563beee842222f447d187448859adc7525924334910929bace643d512baf3f,Second Pass Sophmores Start,2023-11-25,2024,Winter
7a12f5dc29b62b9a12f2655fa1a7cf2d05a855bc3525b1e7962c003f293305d1,Second Pass Sophmores Start,2024-02-29,2024,Spring
c9f72d57535be5fad1789b589bb1ae2de4aa121f6a629bb9958854d5bd30c653,Second Pass Sophmores Start,2024-06-05,2024,Fall
09752d20e50cf681a638046eec8751d581235d5ae10bdfed0081be53ebf24f15,Second Pass Sophmores Start,2024-11-22,2025,Winter
f4606e2e6230ec10d15b577881d3ff3c909c821ceb48dde4f6ffab2745a3747e,Second Pass Sophmores Start,2025-02-27,2025,Spring
dc5aba5892ecb5f9e27b9ca89ae1bb5bea0caae5b28b0ca81fe11af3934b23bd,Second Pass First-Year Start,2023-11-27,2024,Winter
032182a392b606cfbad0112f69ffc03c0565b835307cc3af09f4efaa3f7cec48,Second Pass First-Year Start,2024-03-01,2024,Spring
bf7802bbc0b6f924be7889cf161ccb44c0ecd0eccb2694d3c2b229d9f9e9c3e1,Second Pass First-Year Start,2024-06-06,2024,Fall
bcf4095801985ec88797bfc1a5b324a46e5be7a854a72e6cb56017e37e7fbb9a,Second Pass First-Year Start,2024-11-23,2025,Winter
1526709239534dadfc4666ea12319c26de873d9b81479451029bc061837649f8,Second Pass First-Year Start,2025-02-28,2025,Spring
f03d428f94f31855c098f2d0f76fd9029050b34f3da6d988e90491b06d8a809a,Quarter Start,2024-01-04,2024,Winter
e5d684b7378e9fe4891c7e7fafb9e8e8511261f6bca4d7bb61a094139b37e1fc,Quarter Start,2024-03-27,2024,Spring
eefd343192a0c8d3d98eea47439a0d224e6d2eba332e23f1424d4fa5305d37ad,Quarter Start,2024-09-23,2024,Fall
79d97ebac0ceb1f7c8e20ece7459c87f9446d2bae0ffd9507092e5f74cc71988,Quarter Start,2025-01-02,2025,Winter
6d2858fdfadf74199e23bedf0dc9b5f4a724edf78c8d1e0a3d14c56e1327c506,Quarter Start,2025-03-26,2025,Spring
550d9082049780bba40ad8a5e73e5007cd3889fdecf6e6df13aec70651575cf7,A Week After Quarter Start,2024-01-11,2024,Winter
ee02c8e170f9ab2ddfbc36e170296abfdd176d520ae873c9a1f13072e842dead,A Week After Quarter Start,2024-04-04,2024,Spring
d7379d5bc016cf82bdd6cf6748ab8fc9d247e8ffb625ca8cce83e603d1898e16,A Week After Quarter Start,2024-09-30,2024,Fall
739a59e2e75da075f2d81e8bccc2d872158d440fc48f02c9e55b7507929c42d0,A Week After Quarter Start,2025-01-18,2025,Winter
7e3794286f818fae0316362c0184325a17ce62532204235529bfdc244bd98401,A Week After Quarter Start,2025-04-02,2025,Spring
